,precision,recall,f1-score,support
armarinho,0.95573150980745,0.9757486680139629,0.9656363636363637,5443.0
artesanato,0.948905109489051,0.4868913857677903,0.6435643564356436,267.0
aviamento,0.0,0.0,0.0,46.0
decoracao,0.0,0.0,0.0,1.0
enxoval,0.875,0.9438202247191011,0.908108108108108,712.0
la,0.9877177949157384,0.998844598497978,0.9932500359040644,3462.0
linha,0.992496765847348,0.9980053768103373,0.995243448931938,11531.0
mdf,0.8780231335436383,0.949943117178612,0.912568306010929,879.0
outros,0.0,0.0,0.0,25.0
papelaria,0.9665791358319408,0.9551781080443501,0.9608448030374941,4239.0
roupas,0.0,0.0,0.0,4.0
servicos,0.0,0.0,0.0,14.0
tecido,0.8666666666666667,0.611764705882353,0.7172413793103449,255.0
accuracy,0.9717612917627799,0.9717612917627799,0.9717612917627799,0.9717612917627799
macro avg,0.5747015473924487,0.5323227834549603,0.5458812924134528,26878.0
weighted avg,0.9685421079052027,0.9717612917627799,0.9690904245156539,26878.0
